,Name,Price,Links
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset - White,GH₵ 71.00,https://www.jumia.com.gh/phones-tablets/lenovo-lp40-wireless-earphone-bluetooth-5.0-headset-white-22654157.html
1,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00,https://www.jumia.com.gh/phones-tablets/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
2,TCL L7 - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 399.00,https://www.jumia.com.gh/phones-tablets/l7-smartphone-32gb-hdd-2gb-ram-black-tcl-mpg441224.html
3,P47 Wireless Foldable Bluetooth Headset -   Black,GH₵ 35.00,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-headset-with-fm-radio-feature-black-p47-mpg440772.html
4,Samsung Micro SD Memory Card - 64GB - Red/White,GH₵ 50.00,https://www.jumia.com.gh/phones-tablets/micro-sd-memory-card-64gb-redwhite-samsung-mpg434368.html
5,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 36.48,https://www.jumia.com.gh/phones-tablets/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
6,116Plus Digital Smart Watch 116 Plus- Black,GH₵ 35.00,https://www.jumia.com.gh/phones-tablets/116plus-digital-smart-watch-116-plus-black-generic-mpg442460.html
7,F9 V5.1 Wireless Bluetooth Digital Display earphone -Black,GH₵ 49.00,https://www.jumia.com.gh/phones-tablets/generic-f9-v5.1-wireless-bluetooth-digital-display-earphone-black-38611560.html
8,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 176.00,https://www.jumia.com.gh/phones-tablets/oraimo-freepods3-true-wireless-stereo-earbuds-black-41220617.html
9,IOOIOO F9 Bluetooth Earbuds - Black,GH₵ 62.00,https://www.jumia.com.gh/phones-tablets/iooioo-f9-bluetooth-earbuds-black-22673057.html
10,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 34.00,https://www.jumia.com.gh/phones-tablets/tws-i12tws-wireless-bluetooth-5.0-sport-headset-white-19852625.html
11,Itel It 2173 Dual SIM Feature Phone  - Blue,GH₵ 94.00,https://www.jumia.com.gh/phones-tablets/it-2173-dual-sim-feature-phone-512mb-rom-512mb-ram-black-grey-itel-mpg455309.html
12,MicroSDHC Card – 64GB Black,GH₵ 46.50,https://www.jumia.com.gh/phones-tablets/generic-microsdhc-card-64gb-black-31394079.html
13,Air Pro 6 Bluetooth Headset 5.0 Stereo Sport Music Earphones With Mic For IOS Android IPhone,GH₵ 47.04,https://www.jumia.com.gh/phones-tablets/generic-air-pro-6-bluetooth-headset-5.0-stereo-sport-music-earphones-with-mic-for-ios-android-iphone-31039339.html
14,Color Screen Smart Bracelet Waterproof Bracelet,GH₵ 46.08,https://www.jumia.com.gh/phones-tablets/color-screen-smart-bracelet-waterproof-bracelet-generic-mpg454444.html
15,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00,https://www.jumia.com.gh/phones-tablets/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
16,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset - White,GH₵ 71.00,https://www.jumia.com.gh/phones-tablets/lenovo-lp40-wireless-earphone-bluetooth-5.0-headset-white-22654157.html
17,Wireless  Bluetooth 5.0 Earphones - 2200mAh Black,GH₵ 48.00,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-5.0-earphones-2200mah-black-generic-mpg456777.html
18,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 36.48,https://www.jumia.com.gh/phones-tablets/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
19,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 249.00,https://www.jumia.com.gh/phones-tablets/itel-a16-plus-8gb-hdd-1gb-ram-champagne-gold-33067474.html
20,Samsung Galaxy SM-A127F/DS - 64GB HDD - 4GB RAM Smartphone - Blue,GH₵ 989.77,https://www.jumia.com.gh/phones-tablets/samsung-galaxy-sm-a127fds-64gb-hdd-4gb-ram-smartphone-blue-31796753.html
21,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 48.00,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-5.0-waterproof-headphones-black-generic-mpg456030.html
22,Samsung Galaxy A125F/DS  -  128GB HDD  -  4GB RAM Smartphone  -  Black,"GH₵ 1,064.77",https://www.jumia.com.gh/phones-tablets/samsung-galaxy-a125fds-128gb-hdd-4gb-ram-smartphone-black-31796755.html
23,F9 Bluetooth Earphone - Black,GH₵ 59.00,https://www.jumia.com.gh/phones-tablets/f9-bluetooth-earphone-black-generic-mpg446112.html
24,Lenovo XT92 Gaming Headset Low Latency Touch Bluetooth 5.1 Headset HiFi Stereo black,GH₵ 67.20,https://www.jumia.com.gh/phones-tablets/lenovo-xt92-gaming-headset-low-latency-touch-bluetooth-5.1-headset-hifi-stereo-black-31876840.html
25,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Dazzle Black,GH₵ 493.83,https://www.jumia.com.gh/phones-tablets/itel-s16-dual-sim-smartphone-16gb-hdd-1gb-ram-dazzle-black-33349849.html
26,Samsung Galaxy A22 Dual SIM  -  64GB HDD  -  4GB RAM Smartphone 5G  - Black,"GH₵ 1,272.73",https://www.jumia.com.gh/phones-tablets/samsung-galaxy-a22-dual-sim-64gb-hdd-4gb-ram-smartphone-5g-black-31796759.html
27,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 108.00,https://www.jumia.com.gh/phones-tablets/lenovo-xt90-in-ear-earphones-5.0-headphones-true-wireless-earbuds-with-touch-control-20914250.html
28,Pro 6 Bluetooth Earphone - White,GH₵ 49.00,https://www.jumia.com.gh/phones-tablets/generic-pro-6-bluetooth-earphone-white-32552474.html
29,9H Nano Liquid Screen Protector for all Smartphones/tablets/Smart watches,GH₵ 15.00,https://www.jumia.com.gh/phones-tablets/9h-nano-liquid-screen-protector-for-all-smartphonestabletssmart-watches-16902098.html
30,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 249.00,https://www.jumia.com.gh/phones-tablets/itel-a16-plus-8gb-hdd-1gb-ram-champagne-gold-33067474.html
31,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 142.00,https://www.jumia.com.gh/phones-tablets/c2-05-2gsm-2.0-slide-touch-type-mp3-player-mobile-phone-nokia-mpg449407.html
32,Nokia 105  4th Edition) Dual SIM Feature  Phone -   Blue,GH₵ 124.00,https://www.jumia.com.gh/phones-tablets/t20-32gb-hdd-3gb-ram-tablet-black-nokia-mpg456210.html
33,Itel It 2173 Dual SIM Feature Phone  - Blue,GH₵ 94.00,https://www.jumia.com.gh/phones-tablets/it-2173-dual-sim-feature-phone-512mb-rom-512mb-ram-black-grey-itel-mpg455309.html
34,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 121.00,https://www.jumia.com.gh/phones-tablets/105-4th-edition-dual-sim-cell-phone-black-nokia-mpg441344.html
35,Nokia E63 Keypad Wifi 3G 2MP Mobile BASIC Bar Phone Cell Phone,GH₵ 205.00,https://www.jumia.com.gh/phones-tablets/nokia-e63-keypad-wifi-3g-2mp-mobile-basic-bar-phone-cell-phone-42807307.html
36,Nokia 105 Dual SIM 4th Generation  - 32MB ROM‎ - 4MB RAM Cell Phone - Black + Free 3310 Phone,GH₵ 230.00,https://www.jumia.com.gh/phones-tablets/105-dual-sim-4th-generation-32mb-rom-4mb-ram-cell-phone-black-free-3310-phone-nokia-mpg453641.html
37,Nokia 210 GSM 2.4`Dual SIM Cards MP QWERTY Keyboard Mobile Phone,GH₵ 270.00,https://www.jumia.com.gh/phones-tablets/nokia-210-gsm-2.4dual-sim-cards-mp-qwerty-keyboard-mobile-phone-42807241.html
38,"X Tigi T1 Mini - 1.77"" - Dual SIM Cell Phone - 32MB HDD- 32MB RAM - Blue",GH₵ 79.00,https://www.jumia.com.gh/phones-tablets/x-tigi-t1-mini-1.77-dual-sim-cell-phone-32mb-hdd-32mb-ram-blue-31301179.html
39,Itel A16 PLUS  8GB HDD - 1GB RAM - Black + Free Back Case,GH₵ 290.00,https://www.jumia.com.gh/phones-tablets/a16-plus-8gb-hdd-1gb-ram-black-free-back-case-itel-mpg456426.html
40,Nokia 105 (4th Edition) Dual SIM Cell Phone - Blue,GH₵ 121.00,https://www.jumia.com.gh/phones-tablets/105-4th-edition-dual-sim-blue-nokia-mpg437862.html
41,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 139.00,https://www.jumia.com.gh/phones-tablets/t1-2.4-tri-sim-talkie-walkie-telephone-64mb-2mpx-black-x-tigi-mpg16791.html
42,Nokia 5310 XpressMusic -  2.1 Inch Blue,GH₵ 142.00,https://www.jumia.com.gh/phones-tablets/nokia-5310-xpressmusic-2.1-inch-blue-7113586.html
43,Motorola Razr V3 Classic Flip Phone Dual Screen Silver,GH₵ 250.00,https://www.jumia.com.gh/phones-tablets/motorola-razr-v3-classic-flip-phone-dual-screen-silver-42807221.html
44,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 120.00,https://www.jumia.com.gh/phones-tablets/itel-5081-triple-sim-phone-wireless-fm-radio-dark-blue-18120412.html
45,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00,https://www.jumia.com.gh/phones-tablets/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
46,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Dazzle Black,GH₵ 493.83,https://www.jumia.com.gh/phones-tablets/itel-s16-dual-sim-smartphone-16gb-hdd-1gb-ram-dazzle-black-33349849.html
47,X-INOVA Magic 9 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Blue,GH₵ 307.20,https://www.jumia.com.gh/phones-tablets/magic-9-dual-sim-smartphone-16gb-hdd-2gb-ram-blue-x-inova-mpg456622.html
48,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00,https://www.jumia.com.gh/phones-tablets/tcl-20e-dual-sim-32gb-3gb-ram-smartphone-blue-31316969.html
49,Anica T8 1.54 Inch 400mAh Ultra Thin Dual SIM Blu Black (bla,GH₵ 369.00,https://www.jumia.com.gh/phones-tablets/generic-anica-t8-1.54-inch-400mah-ultra-thin-dual-sim-blu-black-bla-29843542.html
50,X-INOVA Magic 9 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Black,GH₵ 320.00,https://www.jumia.com.gh/phones-tablets/magic-9-dual-sim-smartphone-16gb-hdd-2gb-ram-black-x-inova-mpg456621.html
51,X-INOVA Magic 8 - 16GB HDD-2GB RAM - Green,GH₵ 330.00,https://www.jumia.com.gh/phones-tablets/x-inova-magic-8-16gb-hdd-2gb-ram-green-45145112.html
52,"Amazon Kindle Fire HD 7 Kids Tablet - 16GB HDD - 1GB RAM -  7"" - Red",GH₵ 595.00,https://www.jumia.com.gh/phones-tablets/amazon-kindle-fire-hd-7-kids-tablet-16gb-hdd-1gb-ram-7-red-116594.html
53,TCL L7 - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 399.00,https://www.jumia.com.gh/phones-tablets/l7-smartphone-32gb-hdd-2gb-ram-black-tcl-mpg441224.html
54,X-INOVA Magic 6 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Black,GH₵ 307.20,https://www.jumia.com.gh/phones-tablets/magic-6-dual-sim-smartphone-16gb-hdd-2gb-ram-black-x-inova-mpg456619.html
55,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 558.57,https://www.jumia.com.gh/phones-tablets/tecno-pop-3-bb2-dual-sim-16gb-hdd-1gb-ram-smartphone-champaign-gold-32323165.html
56,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM 4G LTE Smartphone - Black,GH₵ 698.00,https://www.jumia.com.gh/phones-tablets/galaxy-a03-core-32gb-hdd-2gb-ram-4g-lte-smartphone-black-samsung-mpg456612.html
57,X-INOVA Magic 8 - 16GB HDD-2GB RAM - Blue,GH₵ 330.00,https://www.jumia.com.gh/phones-tablets/x-inova-magic-8-16gb-hdd-2gb-ram-blue-45076522.html
58,Apple IPhone 5S 16GB With Finger Sensor 4G LTE ( Gift ) Refurbiished,GH₵ 482.00,https://www.jumia.com.gh/phones-tablets/apple-iphone-5s-16gb-with-finger-sensor-4g-lte-gift-refurbiished-7775361.html
59,"LG G4 H815 Single SIM 5.5"" Smartphone -  3GB RAM - 32GB HDD -Black",GH₵ 504.00,https://www.jumia.com.gh/phones-tablets/lg-g4-h815-single-sim-5.5-smartphone-3gb-ram-32gb-hdd-black-19022562.html
60,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00,https://www.jumia.com.gh/phones-tablets/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
61,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset - White,GH₵ 71.00,https://www.jumia.com.gh/phones-tablets/lenovo-lp40-wireless-earphone-bluetooth-5.0-headset-white-22654157.html
62,Wireless  Bluetooth 5.0 Earphones - 2200mAh Black,GH₵ 48.00,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-5.0-earphones-2200mah-black-generic-mpg456777.html
63,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 29.00,https://www.jumia.com.gh/phones-tablets/generic-fingerprint-touch-noise-cancelling-stereo-bluetooth-headset-black-31815088.html
64,P47 Wireless Foldable Bluetooth Headset -   Black,GH₵ 35.00,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-headset-with-fm-radio-feature-black-p47-mpg440772.html
65,P47 Wireless Headset -   White,GH₵ 35.00,https://www.jumia.com.gh/phones-tablets/wireless-headset-white-p47-mpg454476.html
66,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 36.48,https://www.jumia.com.gh/phones-tablets/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
67,Oraimo OCD-M53 Data cable 1 meter   5V2A Micro-USB,GH₵ 7.80,https://www.jumia.com.gh/phones-tablets/oraimo-ocd-m53-data-cable-1-meter-5v2a-micro-usb-42608447.html
68,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 34.00,https://www.jumia.com.gh/phones-tablets/tws-i12tws-wireless-bluetooth-5.0-sport-headset-white-19852625.html
69,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 55.00,https://www.jumia.com.gh/phones-tablets/air-pro-6-bluetooth-earphone-earbuds-hifi-stereo-touch-sensor-control-mic-for-android-ios-tws-mpg453585.html
70,Wireless Bluetooth Earphones - White,GH₵ 37.50,https://www.jumia.com.gh/phones-tablets/air-3-pro-bluetooth-wireless-earphones-white-generic-mpg448815.html
71,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 18.24,https://www.jumia.com.gh/phones-tablets/micro-sd-memory-card-32gb-black-generic-mpg429117.html
72,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 37.00,https://www.jumia.com.gh/phones-tablets/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-black-22600679.html
73,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 249.00,https://www.jumia.com.gh/phones-tablets/itel-a16-plus-8gb-hdd-1gb-ram-champagne-gold-33067474.html
74,Air Pro 6 Bluetooth Headset 5.0 Stereo Sport Music Earphones With Mic For IOS Android IPhone,GH₵ 47.04,https://www.jumia.com.gh/phones-tablets/generic-air-pro-6-bluetooth-headset-5.0-stereo-sport-music-earphones-with-mic-for-ios-android-iphone-31039339.html
75,Oraimo OPB-P204D 20000mAh High Capacity Dual USB Output,GH₵ 100.80,https://www.jumia.com.gh/phones-tablets/oraimo-opb-p204d-20000mah-high-capacity-dual-usb-output-41041011.html
